FIPS,State,County,Year,Premature Death - Deaths,Premature Death - Aggregate Population,Premature Death - YPLL Rate,Premature Death -  95% CI - Low,Premature Death -  95% CI - High,Premature Death - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Hospice use - % Hospice Use,Hospice use - 95% CI - Low,Hospice use - 95% CI - High,Hospice use - Z-Score,Unemployment - % unemployed,Unemployment - 95% CI - Low,Unemployment - 95% CI - High,Unemployment - Z-Score,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - GINI,Income inequality - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6097,California,Sonoma,2010,4053,1298219,5364,5137,5591,-1.04,820,15,12,18,-0.28,814,4.1,3.3,4.8,0.23,820,16,13,20,0.33,20,16,24,-1.07,20,18,22,0.29,509,110,72226,44,43,46,-1.23,37,34,40,1.36,6,6,6,-0.95,11,9,12,-1.13,44,-0.15,3,-0.48,0,-0.64
6099,California,Stanislaus,2010,5141,1427537,7838,7573,8103,0.44,861,23,20,27,1.12,857,4.7,3.9,5.4,0.84,861,17,14,21,0.66,28,23,34,1.43,17,15,18,-0.7,365,73,52041,77,75,80,1.46,23,20,26,-0.48,11,11,11,0.85,18,16,20,0.04,44,-0.31,26,1.6,17,-0.05
6101,California,Sutter,2010,893,249272,6519,5956,7081,-0.35,116,,,,0,114,4.8,3.3,6.3,0.98,116,,,,0,25,18,33,0.36,20,17,23,0.26,82,94,18772,66,62,69,0.52,21,17,26,-0.64,12,12,13,1.25,18,14,21,-0.04,42,-0.8,3,-0.48,5,-0.47
6103,California,Tehama,2010,747,165860,8220,7410,9030,0.66,128,25,16,36,1.4,127,6.3,4,8.7,2.55,128,,,,0,26,18,34,0.66,19,17,21,0.05,29,49,19662,62,59,66,0.25,23,19,28,-0.46,9,9,10,0.18,27,22,31,1.37,45,0.17,3,-0.48,12,-0.22
6105,California,Trinity,2010,245,37473,11403,9194,13983,2.56,38,,,,0,37,,,,0,38,,,,0,23,16,33,-0.04,20,17,23,0.34,6,44,4147,69,61,78,0.8,,,,0,12,12,13,1.28,27,22,32,1.38,46,0.66,0,-0.76,0,-0.64
6107,California,Tulare,2010,4109,1162153,8417,8110,8723,0.78,526,24,20,30,1.35,522,4.7,3.7,5.7,0.89,526,19,15,25,1.19,28,22,35,1.49,19,17,21,-0.09,224,55,66020,78,76,80,1.54,21,19,24,-0.66,11,11,11,0.75,32,29,35,2.2,45,0.26,15,0.6,84,2.28
6109,California,Tuolumne,2010,755,153182,8256,7360,9153,0.68,125,16,10,24,-0.1,124,4.1,2.6,5.6,0.27,124,23,15,34,2.23,23,17,30,-0.16,16,13,18,-1,52,92,18521,50,46,53,-0.81,21,17,26,-0.7,8,8,8,-0.22,18,14,21,-0.05,46,0.78,0,-0.76,8,-0.36
6111,California,Ventura,2010,5930,2254642,5465,5283,5647,-0.98,1070,14,11,17,-0.45,1065,3.6,3,4.3,-0.23,1071,16,13,19,0.36,23,20,27,-0.07,18,16,19,-0.35,649,83,119354,52,50,53,-0.64,31,29,34,0.65,6,6,6,-0.75,12,11,14,-0.86,43,-0.56,1,-0.67,39,0.72
6113,California,Yolo,2010,1449,537430,5905,5527,6283,-0.72,298,15,11,21,-0.19,297,4.2,2.9,5.4,0.32,298,9,6,13,-1.49,25,20,32,0.63,21,18,23,0.43,257,138,17471,51,47,54,-0.72,31,26,38,0.65,7,7,8,-0.38,15,12,17,-0.52,46,0.62,6,-0.21,6,-0.43
6115,California,Yuba,2010,864,192914,9736,8946,10527,1.57,122,17,11,25,0.02,122,5.2,3.5,7,1.42,122,,,,0,27,20,37,1.24,17,14,19,-0.65,25,37,11844,85,79,90,2.07,23,18,29,-0.42,12,12,12,1.15,27,23,31,1.38,42,-1.12,6,-0.21,0,-0.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Recently, we detected an error in our estimates of Primary Care Physicians.  The number of General Practice Physicians was double counted.  As a result, the estimate of Primary Care Physicians was incorrect.  We have corrected the errors.   The correct estimates of the rate of Primary Care Physicians are available on our website and in the downloadable data files.  The specific county Rankings for 2010 - 2012 will not be recalculated based on the updated data.  The old data that the Rankings are based on is included in all Data Files.  You can find all data files at: http://www.countyhealthrankings.org/rankings/ranking-methods/download-rankings-data",,,,,,,,,,,,,,,,,,,,,,,,
